o
"(:Order_Details {total: 3028,order_details_id: 5,shipping_method: ""DPD"",created_at: ""2022-06-02T00:29:00""})"
"(:Order_Details {total: 1576,order_details_id: 4,shipping_method: ""UPS"",created_at: ""2022-02-27T09:29:00""})"
"(:Order_Details {total: 4498,order_details_id: 7,shipping_method: ""UPS"",created_at: ""2021-10-13T21:29:00""})"
"(:Order_Details {total: 5299,order_details_id: 2,shipping_method: ""Inpost"",created_at: ""2022-01-05T03:29:00""})"
"(:Order_Details {total: 1490,order_details_id: 15,shipping_method: ""Inpost"",created_at: ""2022-04-07T03:31:00""})"
"(:Order_Details {total: 2898,order_details_id: 3,shipping_method: ""DPD"",created_at: ""2022-06-07T17:29:00""})"
"(:Order_Details {total: 5498,order_details_id: 8,shipping_method: ""DHL"",created_at: ""2022-03-05T03:30:00""})"
"(:Order_Details {total: 2449,order_details_id: 9,shipping_method: ""Inpost"",created_at: ""2022-01-14T03:30:00""})"
"(:Order_Details {total: 1414,order_details_id: 16,shipping_method: ""DPD"",created_at: ""2022-04-23T17:31:00""})"
"(:Order_Details {total: 1800,order_details_id: 18,shipping_method: ""DHL"",created_at: ""2022-03-09T12:31:00""})"
"(:Order_Details {total: 2697,order_details_id: 13,shipping_method: ""DPD"",created_at: ""2021-06-10T22:30:00""})"
"(:Order_Details {total: 1800,order_details_id: 17,shipping_method: ""Inpost"",created_at: ""2022-07-04T22:31:00"",modified_at: ""2022-07-05T03:32:26""})"
"(:Order_Details {total: 17046,order_details_id: 11,shipping_method: ""DHL"",created_at: ""2021-11-05T09:30:00""})"
"(:Order_Details {total: 4598,order_details_id: 19,shipping_method: ""UPS"",created_at: ""2022-02-28T11:31:00""})"
"(:Order_Details {total: 2697,order_details_id: 10,shipping_method: ""DHL"",created_at: ""2022-04-19T19:30:00""})"
